PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE	PUC
2	PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO	PUCV
3	UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO	UAHC
4	UNIVERSIDAD ADOLFO IBÁÑEZ	UAI
5	UNIVERSIDAD ADVENTISTA DE CHILE	UNACH
6	UNIVERSIDAD ALBERTO HURTADO	UAH
7	UNIVERSIDAD ANDRÉS BELLO	UNAB
8	UNIVERSIDAD ARTURO PRAT	UNAP
9	UNIVERSIDAD AUSTRAL DE CHILE	UACH
10	UNIVERSIDAD AUTÓNOMA DE CHILE	UAUTÓNOMA
11	UNIVERSIDAD BERNARDO O’HIGGINS	UBO
12	UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN	UCSC
13	UNIVERSIDAD CATÓLICA DE TEMUCO	UCT
14	UNIVERSIDAD CATÓLICA DEL MAULE	UCM
15	UNIVERSIDAD CATÓLICA DEL NORTE	UCN
16	UNIVERSIDAD CATÓLICA SILVA HENRÍQUEZ	UCSH
17	UNIVERSIDAD CENTRAL DE CHILE	UCEN
18	UNIVERSIDAD DE ANTOFAGASTA	UA
19	UNIVERSIDAD DE ATACAMA	UDA
20	UNIVERSIDAD DE AYSÉN	UAYSÉN
21	UNIVERSIDAD DE CHILE	UCH
22	UNIVERSIDAD DE CONCEPCIÓN	UDEC
23	UNIVERSIDAD DE LA FRONTERA	UFRO
24	UNIVERSIDAD DE LA SERENA	ULS
25	UNIVERSIDAD DE LAS AMÉRICAS	UDLA
26	UNIVERSIDAD DE LOS ANDES	UANDES
27	UNIVERSIDAD DE LOS LAGOS	ULAGOS
28	UNIVERSIDAD DE MAGALLANES	UMAG
29	UNIVERSIDAD DE O’HIGGINS	UOH
30	UNIVERSIDAD DE PLAYA ANCHA	UPLA
31	UNIVERSIDAD DE SANTIAGO DE CHILE	USACH
32	UNIVERSIDAD DE TALCA	UTALCA
33	UNIVERSIDAD DE TARAPACÁ	UTA
34	UNIVERSIDAD DE VALPARAÍSO	UV
35	UNIVERSIDAD DEL BÍO-BÍO	UBB
36	UNIVERSIDAD DEL DESARROLLO	UDD
37	UNIVERSIDAD DIEGO PORTALES	UDP
38	UNIVERSIDAD FINIS TERRAE	UFT
39	UNIVERSIDAD GABRIELA MISTRAL	UGM
40	UNIVERSIDAD MAYOR	UMAYOR
41	UNIVERSIDAD METROPOLITANA DE CS. DE LA EDUCACIÓN	UMCE
42	UNIVERSIDAD SAN SEBASTIÁN	USS
43	UNIVERSIDAD SANTO TOMÁS	UST
44	UNIVERSIDAD TÉCNICA FEDERICO SANTA MARÍA	USM
45	UNIVERSIDAD TECNOLÓGICA METROPOLITANA	UTEM
